#Numeric 15 features, 30 chaps of Tramp
#    num_features = num_numeric_features
#    batch_size = 10
#    num_epochs = 20
#    max_length = 50
#    cell_size = 64

lr = 0.0001
Epoch 1/20 | train_cost = 982497.216 | test_cost = 1053421.526 | time = 15.403
Epoch 2/20 | train_cost = 905439.872 | test_cost = 986716.251 | time = 18.887
Epoch 3/20 | train_cost = 855897.896 | test_cost = 937923.171 | time = 16.483
Epoch 4/20 | train_cost = 815356.536 | test_cost = 894951.851 | time = 17.248
Epoch 5/20 | train_cost = 778635.820 | test_cost = 855197.672 | time = 18.026
Epoch 6/20 | train_cost = 744318.142 | test_cost = 817720.107 | time = 18.674
Epoch 7/20 | train_cost = 711806.774 | test_cost = 782056.032 | time = 16.276
Epoch 8/20 | train_cost = 680784.763 | test_cost = 747940.138 | time = 15.962
Epoch 9/20 | train_cost = 651062.779 | test_cost = 715206.220 | time = 16.115
Epoch 10/20 | train_cost = 622518.840 | test_cost = 683743.166 | time = 18.469
Epoch 11/20 | train_cost = 595069.317 | test_cost = 653472.329 | time = 19.944
Epoch 12/20 | train_cost = 568653.593 | test_cost = 624335.243 | time = 16.426
Epoch 13/20 | train_cost = 543133.483 | test_cost = 595728.298 | time = 16.871
Epoch 14/20 | train_cost = 517992.521 | test_cost = 568225.611 | time = 16.196
Epoch 15/20 | train_cost = 494123.729 | test_cost = 541988.414 | time = 20.029
Epoch 16/20 | train_cost = 471271.333 | test_cost = 516828.742 | time = 19.476
Epoch 17/20 | train_cost = 449349.740 | test_cost = 492693.118 | time = 19.930
Epoch 18/20 | train_cost = 428323.155 | test_cost = 469551.225 | time = 19.861
Epoch 19/20 | train_cost = 408168.838 | test_cost = 447381.849 | time = 19.254
Epoch 20/20 | train_cost = 388869.951 | test_cost = 426168.508 | time = 18.987

lr = 0.001
Epoch 1/20 | train_cost = 802042.161 | test_cost = 674635.443 | time = 18.210
Epoch 2/20 | train_cost = 507294.332 | test_cost = 436547.284 | time = 18.377
Epoch 3/20 | train_cost = 334231.554 | test_cost = 295827.545 | time = 17.392
Epoch 4/20 | train_cost = 235254.159 | test_cost = 219394.357 | time = 17.780
Epoch 5/20 | train_cost = 184167.902 | test_cost = 182843.728 | time = 17.126
Epoch 6/20 | train_cost = 161304.072 | test_cost = 168110.225 | time = 17.168
Epoch 7/20 | train_cost = 152794.099 | test_cost = 163342.990 | time = 20.076
Epoch 8/20 | train_cost = 150271.357 | test_cost = 162172.232 | time = 19.342
Epoch 9/20 | train_cost = 149696.611 | test_cost = 161966.941 | time = 18.895
Epoch 10/20 | train_cost = 149592.052 | test_cost = 161939.078 | time = 17.953
Epoch 11/20 | train_cost = 149567.074 | test_cost = 161929.303 | time = 17.137
Epoch 12/20 | train_cost = 149550.951 | test_cost = 161919.452 | time = 18.576
Epoch 13/20 | train_cost = 149535.752 | test_cost = 161909.748 | time = 16.996
Epoch 14/20 | train_cost = 149521.163 | test_cost = 161900.765 | time = 18.957
Epoch 15/20 | train_cost = 149507.236 | test_cost = 161892.579 | time = 19.968
Epoch 16/20 | train_cost = 149493.937 | test_cost = 161885.132 | time = 20.902
Epoch 17/20 | train_cost = 149481.215 | test_cost = 161878.343 | time = 18.985
Epoch 18/20 | train_cost = 149469.004 | test_cost = 161872.087 | time = 17.471
Epoch 19/20 | train_cost = 149457.243 | test_cost = 161866.263 | time = 16.848
